source_type,item_name,canonical_key,source_name,source_canonical_key,detail,source_url,page_data_url,cache_file_name,parser_version,flags,notes
openable_reverse,Ancient Coin,ancient coin,Present 01,present 01,20-20,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,,
openable_reverse,Ancient Coin,ancient coin,Present 02,present 02,500-500,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,,
openable_reverse,Ancient Coin,ancient coin,Christmas Present 09,christmas present 09,90-90,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,,
openable_reverse,Ancient Coin,ancient coin,Gift Basket 02,gift basket 02,100-100,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,,
openable_reverse,Ancient Coin,ancient coin,Medium Chest 01,medium chest 01,50-50,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,,
openable_reverse,Ancient Coin,ancient coin,Gift Basket 01,gift basket 01,50-50,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,,
openable_reverse,Ancient Coin,ancient coin,Large Chest 01,large chest 01,100-100,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,,
openable_reverse,Ancient Coin,ancient coin,Corn Prize Bag,corn prize bag,100-100,https://buddy.farm/i/ancient-coin/,https://buddy.farm/page-data/i/ancient-coin/page-data.json,ancient-coin__ancient-coin.json,buddy-item-multi-source-v1,,
openable_reverse,Antler,antler,Grab Bag 02,grab bag 02,10-25,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,antler__antler.json,buddy-item-multi-source-v1,,
openable_reverse,Antler,antler,Christmas Present 04,christmas present 04,40-40,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,antler__antler.json,buddy-item-multi-source-v1,,
openable_reverse,Antler,antler,Small Chest 02,small chest 02,10-10,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,antler__antler.json,buddy-item-multi-source-v1,,
openable_reverse,Antler,antler,Christmas Present 09,christmas present 09,90-90,https://buddy.farm/i/antler/,https://buddy.farm/page-data/i/antler/page-data.json,antler__antler.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Cornucopia 01,cornucopia 01,25-25,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Christmas Present 10,christmas present 10,100-100,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Spring Basket 01,spring basket 01,20-20,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,frank's Basket,frank s basket,25-25,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Box of Chocolate 01,box of chocolate 01,5-5,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Spring Basket 02,spring basket 02,50-50,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Treat Bag 04,treat bag 04,25-25,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Apple Crate 01,apple crate 01,200-200,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Box of Chocolate 02,box of chocolate 02,50-50,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Treat Bag 01,treat bag 01,3-3,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Christmas Present 03,christmas present 03,30-30,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Gift Basket 02,gift basket 02,100-100,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Apple Basket,apple basket,200-200,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Medium Chest 01,medium chest 01,100-100,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Gift Basket 01,gift basket 01,25-25,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Treat Bag 05,treat bag 05,25-25,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Cornucopia 02,cornucopia 02,100-100,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Backpack,backpack,25-25,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Heart-shaped Box 01,heart shaped box 01,50-50,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Buddy's School Bag,buddy s school bag,50-50,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Christmas Stocking,christmas stocking,3-3,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Heart-shaped Box 02,heart shaped box 02,100-100,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Fall Basket,fall basket,50-50,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Birthday Present,birthday present,200-200,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Treat Bag 06,treat bag 06,50-50,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Apple Crate 02,apple crate 02,200-200,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple,apple,Spring Basket 03,spring basket 03,200-200,https://buddy.farm/i/apple/,https://buddy.farm/page-data/i/apple/page-data.json,apple__apple.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Ant,apple ant,Apple Crate 02,apple crate 02,5-5,https://buddy.farm/i/apple-ant/,https://buddy.farm/page-data/i/apple-ant/page-data.json,apple-ant__apple-ant.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Basket,apple basket,Birthday Surprise Box 04,birthday surprise box 04,1-2,https://buddy.farm/i/apple-basket/,https://buddy.farm/page-data/i/apple-basket/page-data.json,apple-basket__apple-basket.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Basket,apple basket,Birthday Surprise Box 03,birthday surprise box 03,1-2,https://buddy.farm/i/apple-basket/,https://buddy.farm/page-data/i/apple-basket/page-data.json,apple-basket__apple-basket.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Basket,apple basket,Birthday Surprise Box 05,birthday surprise box 05,1-2,https://buddy.farm/i/apple-basket/,https://buddy.farm/page-data/i/apple-basket/page-data.json,apple-basket__apple-basket.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Winter Basket,winter basket,5-5,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Giving Box 01,giving box 01,250-250,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Lovely Present,lovely present,10-10,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Spring Basket 02,spring basket 02,15-15,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Apple Crate 01,apple crate 01,25-25,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Box of Chocolate 02,box of chocolate 02,5-5,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Present 02,present 02,50-50,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Buddy's Beach Bag,buddy s beach bag,25-25,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Apple Basket,apple basket,10-10,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Rosalie's Beach Tote,rosalie s beach tote,3-3,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Drink Bundle,drink bundle,10-10,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Fancy Present,fancy present,10-10,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Frozen Chest 02,frozen chest 02,5-5,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Thomas's Tavern Tote,thomas s tavern tote,25-25,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Birthday Present,birthday present,25-25,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Tower Prep Pack 01,tower prep pack 01,250-250,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Frozen Chest 03,frozen chest 03,125-125,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Shiny Present,shiny present,10-10,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Cider,apple cider,Apple Crate 02,apple crate 02,50-50,https://buddy.farm/i/apple-cider/,https://buddy.farm/page-data/i/apple-cider/page-data.json,apple-cider__apple-cider.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Core,apple core,Apple Crate 02,apple crate 02,5-5,https://buddy.farm/i/apple-core/,https://buddy.farm/page-data/i/apple-core/page-data.json,apple-core__apple-core.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Core,apple core,Apple Crate 01,apple crate 01,3-3,https://buddy.farm/i/apple-core/,https://buddy.farm/page-data/i/apple-core/page-data.json,apple-core__apple-core.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Core,apple core,Apple Basket,apple basket,2-2,https://buddy.farm/i/apple-core/,https://buddy.farm/page-data/i/apple-core/page-data.json,apple-core__apple-core.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Crate 01,apple crate 01,Birthday Surprise Box 04,birthday surprise box 04,1-2,https://buddy.farm/i/apple-crate-01/,https://buddy.farm/page-data/i/apple-crate-01/page-data.json,apple-crate-01__apple-crate-01.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Crate 01,apple crate 01,Birthday Surprise Box 05,birthday surprise box 05,1-2,https://buddy.farm/i/apple-crate-01/,https://buddy.farm/page-data/i/apple-crate-01/page-data.json,apple-crate-01__apple-crate-01.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Crate 02,apple crate 02,Birthday Surprise Box 05,birthday surprise box 05,1-2,https://buddy.farm/i/apple-crate-02/,https://buddy.farm/page-data/i/apple-crate-02/page-data.json,apple-crate-02__apple-crate-02.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Picker,apple picker,Apple Crate 02,apple crate 02,1-1,https://buddy.farm/i/apple-picker/,https://buddy.farm/page-data/i/apple-picker/page-data.json,apple-picker__apple-picker.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Pie,apple pie,Apple Crate 02,apple crate 02,1-1,https://buddy.farm/i/apple-pie/,https://buddy.farm/page-data/i/apple-pie/page-data.json,apple-pie__apple-pie.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Pie,apple pie,Tower Prep Pack 01,tower prep pack 01,1-1,https://buddy.farm/i/apple-pie/,https://buddy.farm/page-data/i/apple-pie/page-data.json,apple-pie__apple-pie.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Pie,apple pie,Holiday Cheer Bundle 01,holiday cheer bundle 01,1-1,https://buddy.farm/i/apple-pie/,https://buddy.farm/page-data/i/apple-pie/page-data.json,apple-pie__apple-pie.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Pie,apple pie,Apple Basket,apple basket,1-1,https://buddy.farm/i/apple-pie/,https://buddy.farm/page-data/i/apple-pie/page-data.json,apple-pie__apple-pie.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Pie,apple pie,Apple Crate 01,apple crate 01,1-1,https://buddy.farm/i/apple-pie/,https://buddy.farm/page-data/i/apple-pie/page-data.json,apple-pie__apple-pie.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Slicer,apple slicer,Apple Crate 01,apple crate 01,1-1,https://buddy.farm/i/apple-slicer/,https://buddy.farm/page-data/i/apple-slicer/page-data.json,apple-slicer__apple-slicer.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Slicer,apple slicer,Apple Crate 02,apple crate 02,1-1,https://buddy.farm/i/apple-slicer/,https://buddy.farm/page-data/i/apple-slicer/page-data.json,apple-slicer__apple-slicer.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Turnover,apple turnover,Apple Crate 01,apple crate 01,3-3,https://buddy.farm/i/apple-turnover/,https://buddy.farm/page-data/i/apple-turnover/page-data.json,apple-turnover__apple-turnover.json,buddy-item-multi-source-v1,,
openable_reverse,Apple Turnover,apple turnover,Apple Crate 02,apple crate 02,3-3,https://buddy.farm/i/apple-turnover/,https://buddy.farm/page-data/i/apple-turnover/page-data.json,apple-turnover__apple-turnover.json,buddy-item-multi-source-v1,,
openable_reverse,Aquamarine,aquamarine,Grab Bag 01,grab bag 01,10-50,https://buddy.farm/i/aquamarine/,https://buddy.farm/page-data/i/aquamarine/page-data.json,aquamarine__aquamarine.json,buddy-item-multi-source-v1,,
openable_reverse,Aquamarine,aquamarine,Small Chest 01,small chest 01,10-10,https://buddy.farm/i/aquamarine/,https://buddy.farm/page-data/i/aquamarine/page-data.json,aquamarine__aquamarine.json,buddy-item-multi-source-v1,,
openable_reverse,Aquamarine,aquamarine,Christmas Present 10,christmas present 10,100-100,https://buddy.farm/i/aquamarine/,https://buddy.farm/page-data/i/aquamarine/page-data.json,aquamarine__aquamarine.json,buddy-item-multi-source-v1,,
openable_reverse,Aquamarine Ring,aquamarine ring,Medium Chest 02,medium chest 02,5-5,https://buddy.farm/i/aquamarine-ring/,https://buddy.farm/page-data/i/aquamarine-ring/page-data.json,aquamarine-ring__aquamarine-ring.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Winter Basket,winter basket,5-5,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Cornucopia 03,cornucopia 03,50-50,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Giving Box 01,giving box 01,250-250,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Lovely Present,lovely present,10-10,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Bag of Presents 02,bag of presents 02,10-10,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Present 02,present 02,50-50,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Picnic Basket 01,picnic basket 01,100-100,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Borgen Bag 01,borgen bag 01,10-600,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Frozen Chest 01,frozen chest 01,5-5,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Traveler's Bag 01,traveler s bag 01,100-100,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Drink Bundle,drink bundle,5-5,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Backpack,backpack,10-10,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Summer Basket,summer basket,5-5,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Fancy Present,fancy present,10-10,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Supply Crate 01,supply crate 01,100-100,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Birthday Present,birthday present,10-10,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Tower Prep Pack 01,tower prep pack 01,250-250,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Frozen Chest 03,frozen chest 03,125-125,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Supply Bag 01,supply bag 01,30-30,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Shiny Present,shiny present,10-10,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
openable_reverse,Arnold Palmer,arnold palmer,Heart-shaped Box 03,heart shaped box 03,125-125,https://buddy.farm/i/arnold-palmer/,https://buddy.farm/page-data/i/arnold-palmer/page-data.json,arnold-palmer__arnold-palmer.json,buddy-item-multi-source-v1,,
